price,year,mileage,make,model,body,age,mileage_per_year,high_mileage
5300,2020,57150,mazda,b-series pickups,extended cab pickup,5,11430.0,0
8900,2020,88308,honda,element,suv,5,17661.6,0
28400,2019,25150,toyota,highlander,suv,6,4191.666666666667,0
31500,2019,43002,toyota,tundra,crew cab pickup,6,7167.0,0
8400,2019,1350,mitsubishi,eclipse cross es,suv,6,225.0,0
6000,2020,170500,toyota,pickup,,5,34100.0,1
22100,2019,24282,lexus,nx,suv,6,4047.0,0
6000,2019,73573,jaguar,s-type,sedan,6,12262.166666666666,0
9600,2020,91700,bmw,7-series,sedan,5,18340.0,0
17700,2019,34011,bmw,z4,convertible,6,5668.5,0
1500,2019,83751,amc,hornet,sedan,6,13958.5,0
5700,2019,59500,ford,mustang,2dr car,6,9916.666666666666,0
26000,2019,0,austin healey,100,convertible,6,0.0,0
40200,2020,14800,lexus,ls,sedan,5,2960.0,0
30100,2020,24000,bmw,m6,coupe,5,4800.0,0
10000,2019,21000,chevrolet,camaro,coupe,6,3500.0,0
5500,2019,0,ford,f-100,standard cab pickup,6,0.0,0
4650,2019,977,volkswagen,beetle - classic,coupe,6,162.83333333333334,0
660,2019,187000,dodge,dakota,crew cab pickup,6,31166.666666666668,1
5800,2019,286000,gmc,jimmy,suv,6,47666.666666666664,1
4650,2020,137000,oldsmobile,cutlass,coupe,5,27400.0,0
32000,2020,810,pontiac,gto,coupe,5,162.0,0
1850,2019,60500,studebaker,special six,convertible,6,10083.333333333334,0
10450,2020,114000,jeep,wrangler,suv,5,22800.0,0
6800,2020,86000,ford,torino,,5,17200.0,0
5700,2019,115802,pontiac,trans am,coupe,6,19300.333333333332,0
5000,2019,115802,pontiac,trans am,coupe,6,19300.333333333332,0
4550,2019,74000,pontiac,firebird,coupe,6,12333.333333333334,0
9500,2020,30800,chevrolet,corvette,coupe,5,6160.0,0
13030,2019,103000,dodge,challenger,coupe,6,17166.666666666668,0
16600,2020,676,ford,other,sedan,5,135.2,0
5760,2020,86039,willys,knight model 56,sedan,5,17207.8,0
11900,2019,100000,chevrolet,c-10,standard cab pickup,6,16666.666666666668,0
16000,2020,101000,oldsmobile,eighty-eight,convertible,5,20200.0,0
31450,2019,0,ford,dearborn duce,convertible,6,0.0,0
3050,2019,102830,land rover,range rover,suv,6,17138.333333333332,0
16880,2019,38903,volkswagen,beetle - classic,convertible,6,6483.833333333333,0
5800,2020,100,dodge,other,coupe,5,20.0,0
3800,2019,800,volkswagen,beetle - classic,,6,133.33333333333334,0
10000,2019,72270,buick,special 40,,6,12045.0,0
1430,2020,0,cadillac,la salle,sedan,5,0.0,0
2230,2019,127000,chrysler,new yorker,sedan,6,21166.666666666668,0
8000,2020,0,dodge,victory six,coupe,5,0.0,0
1600,2019,91000,plymouth,fury,sedan,6,15166.666666666666,0
3500,2019,190049,dodge,ram 1500,extended cab pickup,6,31674.833333333332,1
17390,2019,69313,chevrolet,other,,6,11552.166666666666,0
5000,2019,77726,hudson,model 20,sedan,6,12954.333333333334,0
5500,2019,112638,kaiser,deluxe,sedan,6,18773.0,0
3060,2019,101091,amc,eagle,sedan,6,16848.5,0
8400,2019,99999,chevrolet,other pickups,,6,16666.5,0
7600,2019,81792,chevrolet,2 door sedan,,6,13632.0,0
4150,2019,50672,chrysler,lebaron,convertible,6,8445.333333333334,0
5100,2019,20661,chevrolet,monte carlo,coupe,6,3443.5,0
5200,2019,113392,chevrolet,monte carlo,coupe,6,18898.666666666668,0
6200,2019,40804,dodge,other pickups,,6,6800.666666666667,0
5400,2019,23889,ford,super deluxe 2dr sedan,,6,3981.5,0
7000,2019,54398,chevrolet,c-10,,6,9066.333333333334,0
8300,2019,10918,chevrolet,c-10,,6,1819.6666666666667,0
15090,2019,83323,chevrolet,other pickups,,6,13887.166666666666,0
7500,2019,93577,chevrolet,other pickups,,6,15596.166666666666,0
9100,2019,49430,chevrolet,other pickups,,6,8238.333333333334,0
3050,2019,65356,volkswagen,beetle - classic,sedan,6,10892.666666666666,0
3300,2020,117000,ford,mustang,coupe,5,23400.0,0
14000,2020,47100,mercedes-benz,glk-class,suv,5,9420.0,0
40100,2019,89990,chevrolet,impala,convertible,6,14998.333333333334,0
43200,2020,10992,jaguar,f-type,convertible,5,2198.4,0
8000,2020,123456,bmw,isetta,coupe,5,24691.2,0
5000,2020,123456,bmw,isetta,coupe,5,24691.2,0
2000,2020,139760,ford,thunderbird,coupe,5,27952.0,0
5000,2020,27817,ford,pinto,wagon,5,5563.4,0
4420,2020,220000,mercedes-benz,300-series,wagon,5,44000.0,1
4100,2020,75000,plymouth,special deluxe,sedan,5,15000.0,0
15000,2020,68000,chevrolet,c10,pickup,5,13600.0,0
6400,2020,177403,lexus,is,sedan,5,35480.6,1
7200,2019,40500,nissan,sentra,sedan,6,6750.0,0
12200,2020,190973,dodge,ram 2500,crew cab pickup,5,38194.6,1
7400,2020,159748,chevrolet,suburban,suv,5,31949.6,1
10100,2019,66849,bentley,turbo r,,6,11141.5,0
6100,2019,133267,mercedes-benz,600 sec super rare,coupe,6,22211.166666666668,0
